rainfall_intensity,cumulative_rainfall,occurrences,pixel
14.69421387,14.69421387,0,2_18
13.93127441,13.93127441,0,2_18
24.12414551,24.12414551,0,2_18
11.96289063,11.96289063,0,2_18
15.49530029,15.49530029,0,2_18
57.12890625,57.12890625,0,2_18
14.77050781,14.77050781,0,2_18
10.41412354,10.41412354,0,2_18
15.39611816,15.39611816,0,2_18
22.7355957,22.7355957,0,2_18
54.84008789,54.84008789,0,2_18
16.25823975,32.51647949,0,2_18
12.06207275,12.06207275,0,2_18
15.73181152,15.73181152,0,2_18
22.21679688,44.43359375,0,2_18
21.4360555,64.3081665,0,2_18
18.72253418,18.72253418,0,2_18
15.78521729,31.57043457,0,2_18
11.73400879,11.73400879,0,2_18
26.09507243,78.28521729,0,2_18
17.12036133,17.12036133,0,2_18
17.27294922,17.27294922,0,2_18
11.66534424,23.33068848,0,2_18
14.46533203,14.46533203,0,2_18
12.47406006,24.94812012,0,2_18
18.30800374,54.92401123,0,2_18
11.93237305,23.86474609,0,2_18
23.84796143,119.2398071,0,2_18
18.1427002,18.1427002,0,2_18
46.67154948,140.0146484,0,2_18
15.08331299,15.08331299,0,2_18
10.50567627,10.50567627,0,2_18
12.10021973,12.10021973,0,2_18
13.63372803,13.63372803,0,2_18
27.0690918,27.0690918,0,2_18
32.80639648,32.80639648,0,2_18
12.16125488,24.32250977,0,2_18
18.31054688,36.62109375,0,2_18
12.4206543,12.4206543,0,2_18
13.63372803,13.63372803,0,2_18
24.85656738,24.85656738,0,2_18
13.98468018,13.98468018,0,2_18
13.77105713,13.77105713,0,2_18
42.96112061,85.92224121,0,2_18
14.0953064,28.19061279,0,2_18
13.17596436,13.17596436,0,2_18
24.8336792,99.3347168,0,2_18
23.91560872,71.74682617,0,2_18
29.39605713,58.79211426,0,2_18
13.19122314,13.19122314,0,2_18
18.52416992,18.52416992,0,2_18
22.35666911,67.07000732,0,2_18
10.65063477,10.65063477,0,2_18
18.95141602,18.95141602,0,2_18
15.02227783,15.02227783,0,2_18
16.43371582,16.43371582,0,2_18
13.79776001,27.59552002,0,2_18
21.60263062,43.20526123,0,2_18
11.48223877,11.48223877,0,2_18
20.33996582,40.67993164,0,2_18
23.18115234,115.9057617,0,2_18
28.15246582,28.15246582,0,2_18
40.61889648,40.61889648,0,2_18
15.9034729,31.8069458,0,2_18
12.42319743,37.26959229,0,2_18
19.14978027,19.14978027,0,2_18
